@@,itemlabel,item,startdate,enddate
->,Ignacio Villamor->Ignacio B. Villamor,Q3043045,1906-07-17,1908-07-01
+++,George R. Harvey,,1908-07-01,1914-06-30
->,Quintin Paredes->Quintin B. Paredes,Q161861,1917-03-01,1918-06-30
->,César Bengzon->César Fernando C. Bengzon,Q449931,1932-07-01,1934-06-30
+++,Serafin P. Hilado,,1934-07-01,1936-06-30
+++,Pedro T. Tuazon,,1936-07-01,1938-08-17
+++,Roman Ozaeta,,1938-08-17,1940-06-30
->,Lorenzo Tañada->Lorenzo M. Tañada,Q555469,1940-07-01,1941-06-30
+++,Sixto dela Costa,,1941-07-01,1945-06-30
->,Lorenzo Tañada->Lorenzo M. Tañada,Q555469,1945-07-01,1947-12-30
+++,Manuel Lim,,1947-12-30,1948-06-30
+++,Felix Angelo Bautista,,1948-07-01,1950-10-20
+++,Pompeyo Diaz,,1950-10-20,1952-11-10
->,Juan Liwag->Juan R. Liwag,Q12965483,1952-11-10,1954-02-09
->,Querube Makalintal->Querube C. Makalintal,Q3589122,1954-02-09,1954-08-31
->,Ambrosio Padilla->Ambrosio B. Padilla,Q459516,1954-09-01,1957-12-30
+++,Guillermo E. Torres,,1957-12-30,1958-06-30
+++,Edilberto Barot,,1958-07-01,1961-06-30
+++,Arturo A. Alafriz,,1961-07-01,1966-01-24
+++,Antonio P. Barredo,,1966-01-24,1968-06-30
->,Felix Makasiar->Felix V. Makasiar,Q2599027,1968-07-01,1970-02-08
+++,Felix Q. Antonio,,1970-02-09,1972-06-30
->,Estelito Mendoza->Estelito P. Mendoza,Q25652427,1972-07-01,1986-02-25
+++,Sedfrey A. Ordoñez,,1986-02-25,1987-03-04
->,Frank Chavez->Frank C. Chavez,Q15992848,1987-03-05,1992-02-05
+++,Ramon S. Desuasido,,1992-02-06,1992-07-05
+++,Eduardo G. Montenegro,,1992-07-06,1992-08-10
->,Raul Goco->Raul I. Goco,Q17903547,1992-08-11,1996-09-22
->,Silvestre Bello III->Silvestre H. Bello III,Q25136908,1996-09-23,1998-02-03
->,Romeo de la Cruz->Romeo C. de la Cruz,Q22958881,1998-02-04,1998-06-08
->,Silvestre Bello III->Silvestre H. Bello III,Q25136908,1998-06-09,1998-06-30
+++,Ricardo P. Galvez,,1998-07-01,2001-02-15
+++,Carlos N. Ortega,,2002-05-13,2002-11-10
->,Alfredo Benipayo->Alfredo L. Benipayo,Q4723714,2002-11-10,2006-03-31
->,Antonio Eduardo Nachura->Antonio Eduardo B. Nachura,Q4776584,2006-04-03,2007-02-11
->,Agnes Devanadera->Agnes VST Devanadera,Q1955912,2007-03-02,2010-01-15
->,Alberto Agra->Alberto C. Agra,Q4711914,2010-01-16,2010-06-30
+++,Jose Anselmo I. Cadiz,,2010-07-01,2012-02-03
->,Francis Jardeleza->Francis H. Jardeleza,Q5481478,2012-02-06,2014-08-19
->,Florin Hilbay->Florin T. Hilbay,Q20646249,2014-08-20,2015-06-18
->,Florin Hilbay->Florin T. Hilbay,Q20646249,2015-06-19,2016-06-30
